Average score for 5-fold cv: 0.61696, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 0, dropout: 0.0 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.6343799999999999, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 0, dropout: 0.1 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.6449, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 0, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.64314, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 0, dropout: 0.3 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.61656, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 1, dropout: 0.0 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.62324, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 1, dropout: 0.1 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.6262599999999999, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 1, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.654, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 1, dropout: 0.3 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.61726, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 2, dropout: 0.0 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.63134, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 2, dropout: 0.1 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.6243799999999999, with nodes: 128, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 2, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
