Average score for 5-fold cv: 0.59432, with nodes: 100, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 1, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.61108, with nodes: 100, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 2, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.58494, with nodes: 100, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 3, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.58492, with nodes: 100, batch_size: 16, epochs: 20, lstm layers: 3, lstm activation: relu, dense layers: 1, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.61726, with nodes: 100, batch_size: 16, epochs: 20, lstm layers: 3, lstm activation: relu, dense layers: 2, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.6033000000000001, with nodes: 100, batch_size: 16, epochs: 20, lstm layers: 3, lstm activation: relu, dense layers: 3, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.5854600000000001, with nodes: 1000, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 1, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.58994, with nodes: 1000, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 2, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.5926400000000001, with nodes: 1000, batch_size: 16, epochs: 20, lstm layers: 2, lstm activation: relu, dense layers: 3, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.6111, with nodes: 1000, batch_size: 16, epochs: 20, lstm layers: 3, lstm activation: relu, dense layers: 1, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.59722, with nodes: 1000, batch_size: 16, epochs: 20, lstm layers: 3, lstm activation: relu, dense layers: 2, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
Average score for 5-fold cv: 0.6019399999999999, with nodes: 1000, batch_size: 16, epochs: 20, lstm layers: 3, lstm activation: relu, dense layers: 3, dropout: 0.2 and optimizer: adam, with file: ../best_features/EI-Reg/12jan_emb10jan/train/nrc10hashsent-mpqa-afinn-s140-emoticons-nrc10expanded_2018-EI-reg-es-anger-train.csv
