task;lang;emotion;ngrams;ngrams-embeddings;ngrams-lexicons;ngrams-lexicons-embeddings;lexicons;lexicons-embeddings;embeddings
EI-REG;ar;anger;(0.29664215392595089, 0.40509619499088312);;;;(4.2359773013239658e-16, nan);;
EI-REG;ar;fear;(0.20674311145077737, 0.16881843793410289);;;;(4.2359773013239658e-16, -4.2359773013239658e-16);;
EI-REG;ar;joy;(0.33775854992843768, 0.36422048693543058);;;;(4.2359773013239658e-16, 4.1687395663823162e-16);;
EI-REG;ar;sadness;(0.34845229304173375, 0.43071646820232923);;;;(4.2359773013239658e-16, -4.2359773013239658e-16);;
EI-REG;en;anger;(0.33496215571042637, 0.63467272706623445);(0.33760678116507059, 0.64254601364314357);(0.62875084874596854, 0.70506771192459605);(0.62835099535218653, 0.70151519671211859);(0.61872399443652537, 0.59599237178304221);(0.62050318012857608, 0.64124077956676473);(0.38718618591241311, 0.54083078013418018)
EI-REG;en;fear;(0.36678477824543837, 0.65685159178491248);(0.37047548422645066, 0.66942506844368432);(0.63046569435350996, 0.70553298563935729);(0.63043623630400869, 0.70091124564045826);(0.64700968454489693, 0.62935532292281371);(0.67087354720229397, 0.662555424650078);(0.37656994128886512, 0.52577580569913729)
EI-REG;en;joy;(0.4670922025838759, 0.64629350344864966);(0.46924301830433052, 0.67924969227926302);(0.60876830410028493, 0.7015517080657836);(0.60866307892540106, 0.7087536121329191);(0.60006100641569782, 0.62355905037890491);(0.63186924726466287, 0.671267125367082);(0.40690251053984827, 0.60294074975049639)
EI-REG;en;sadness;(0.45031372160300359, 0.60537810890259836);(0.45493499865463832, 0.64329453179071694);(0.68278064518911752, 0.68671566953364971);(0.68300604829374556, 0.712326340199818);(0.63778206333923404, 0.6546807293286625);(0.69396698881468877, 0.6972905618438866);(0.39318517060974267, 0.52929645273808235)
EI-REG;es;anger;(0.12025460176144781, 0.40643595888188849);;(0.091337720563264446, 0.330771327296422);;(-0.16244763731205009, -0.18680222503400562);;
EI-REG;es;fear;(0.28301618004417189, 0.33415649658919688);;(0.2938426564044338, 0.36434743420299798);;(0.032155464976110638, 0.1914512155726841);;
EI-REG;es;joy;(0.40348108117769071, 0.49866746321572869);;(0.41639796797527695, 0.46750979317521185);;(0.14737811405000775, -0.021998863779328439);;
EI-REG;es;sadness;(0.2866720274582647, 0.31965959017304174);;(0.35369910250608377, 0.33356935940475935);;(0.13284959191894308, 0.21589220238385007);;
