task;lang;emotion;ngrams;ngrams-embeddings;ngrams-lexicons;ngrams-lexicons-embeddings;lexicons;lexicons-embeddings;embeddings
;;;;;;;;;
EI-REG;ar;anger;(0.3, 0.39);(0.3, 0.44);;;(0.0, -0.0);;(-0.09, -0.08)
;;;;;;;;;
EI-REG;ar;fear;(0.21, 0.21);(0.21, 0.17);;;(0.0, -0.0);;(0.09, 0.02)
;;;;;;;;;
EI-REG;ar;joy;(0.34, 0.33);(0.33, 0.41);;;(0.0, 0.0);;(0.15, 0.24)
;;;;;;;;;
EI-REG;ar;sadness;(0.35, 0.35);(0.34, 0.34);;;(0.0, 0.0);;(-0.0, 0.04)
;;;;;;;;;
EI-REG;en;anger;(0.33, 0.65);(0.34, 0.66);(0.63, 0.72);(0.63, 0.71);(0.62, 0.61);(0.62, 0.62);(0.39, 0.54)
;;;;;;;;;
EI-REG;en;fear;(0.37, 0.65);(0.37, 0.66);(0.63, 0.7);(0.63, 0.71);(0.65, 0.62);(0.67, 0.68);(0.38, 0.51)
;;;;;;;;;
EI-REG;en;joy;(0.47, 0.64);(0.47, 0.67);(0.61, 0.7);(0.61, 0.71);(0.6, 0.59);(0.63, 0.64);(0.41, 0.6)
;;;;;;;;;
EI-REG;en;sadness;(0.45, 0.63);(0.45, 0.63);(0.68, 0.7);(0.68, 0.71);(0.64, 0.68);(0.69, 0.69);(0.39, 0.54)
;;;;;;;;;
EI-REG;es;anger;(0.12, 0.33);(0.14, 0.39);(0.09, 0.29);;(-0.16, -0.18);;(0.33, 0.4)
;;;;;;;;;
EI-REG;es;fear;(0.28, 0.37);(0.31, 0.46);(0.29, 0.4);;(0.03, -0.13);;(0.36, 0.52)
;;;;;;;;;
EI-REG;es;joy;(0.4, 0.42);(0.43, 0.51);(0.42, 0.55);;(0.15, 0.16);;(0.35, 0.38)
;;;;;;;;;
EI-REG;es;sadness;(0.29, 0.34);(0.29, 0.47);(0.35, 0.41);;(0.13, 0.21);;(0.24, 0.46)
